codigo,descrip_old,descrip_new,ROP_ajustado_old,ROP_ajustado_new,changed_ROP_ajustado,ROP_intermedio_old,ROP_intermedio_new,changed_ROP_intermedio,ROP_holgado_old,ROP_holgado_new,changed_ROP_holgado,changed_any_rop
-303626,FR ASPIRINETA X 14 COMP,FR ASPIRINETA X 14 COMP,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
-303633,LOTRIAL 10 MG COMP X 10,LOTRIAL 10 MG COMP X 10,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
-303638,TAFIROL  1G X 8,XXTAFIROL  1G X 8,9.0,10.0,True,11.0,11.0,False,13.0,13.0,False,True
-303660,FEEN A MINT CHICLE X 6,FEEN A MINT CHICLE X 6,1.0,2.0,True,2.0,3.0,True,3.0,4.0,True,True
-800250,FARMACIA M X2,FARMACIA M X2,2.0,3.0,True,3.0,5.0,True,4.0,6.0,True,True
-888120,EXPECTOSAN TE CALIENTE sob X1,EXPECTOSAN TE CALIENTE sob X1,3.0,3.0,False,4.0,4.0,False,4.0,5.0,True,True
-899436,XXPARACETAMOL BAYER X30 40 OF,XXPARACETAMOL BAYER X30 40 OF,2.0,2.0,False,3.0,3.0,False,5.0,4.0,True,True
1004468,UVASAL plastx100 g,UVASAL plastx100 g,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
1093231,CR DE BISMUTO CHOBET CON PECTI,CR DE BISMUTO CHOBET CON PECTI,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
109341,BAGOVIT A PLUS CR X100,BAGOVIT A PLUS CR X100,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
165021,BUSCAPINA gragx20,BUSCAPINA gragx20,1.0,2.0,True,2.0,3.0,True,4.0,4.0,False,True
1707541,DIOXADOL compx10,DIOXADOL compx10,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
2017312,IM 75 capsx24,IM 75 capsx24,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
2021353,VACUNACE sobx30,VACUNACE sobx30,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
2030003,ALDACTONE A 100 mg compx60,ALDACTONE A 100 mg compx60,0.0,-1.0,True,0.0,-1.0,True,1.0,-1.0,True,True
2231993,BEMPLAS compx30,BEMPLAS compx30,0.0,1.0,True,0.0,2.0,True,0.0,2.0,True,True
2306654,KARIDIUM 10 mg compx30,KARIDIUM 10 mg compx30,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
2323982,REGULANE compx20,REGULANE compx20,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
2340393,HOLOMAGNE B6 compx50,HOLOMAGNE B6 compx50,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
2367381,ETUMINA compx30,ETUMINA compx30,0.0,0.0,False,1.0,0.0,True,1.0,0.0,True,True
2451852,NORANAT compx30,NORANAT compx30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
2645811,MOPERIDONA compx20,MOPERIDONA compx20,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
2704392,DERMAGLOS LT EMULSION X 200,DERMAGLOS LT EMULSION X 200,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
