codigo,descrip,stock_fijado,stock_actual,dias_quiebre_1y,ratio_quiebre,ventas_totales,venta_max_diaria_total,venta_max_diaria_1y,p90_1y,p95_1y,p99_1y,dias_venta_pos,prec_vta,st_real,punto_ped_sif,depto,familia,ROP_ajustado,dias_quiebre_ajustado,%_quiebre_ajustado,AhorroCapitalAjustado,ROP_intermedio,dias_quiebre_intermedio,%_quiebre_intermedio,ROP_holgado,dias_quiebre_holgado,%_quiebre_holgado,ExcesoCapitalHolgado
-303598,FR AMOXICILINA  500 X 8,20.0,20.0,0,0.0,527.0,8.0,8.0,4.0,6.0,7.0,220,4000,20.0,6.0,16.0,,4.0,21,10.0,8000,6.0,8,4.0,7.0,1,0.0,4000
3297651,AEROTINA 10 mg compx10,18.0,18.0,0,0.0,155.0,4.0,4.0,2.0,2.0,3.0,116,6289,18.0,2.0,0.0,52.0,1.0,33,28.0,6289,2.0,5,4.0,3.0,1,1.0,6289
642961,DBI METFORMINA 500 mg compx30,7.0,7.0,0,0.0,217.0,5.0,5.0,2.0,3.0,3.0,151,7212,7.0,4.0,0.0,328.0,2.0,12,8.0,7212,3.0,2,1.0,4.0,1,1.0,7212
2844724,LOTRIAL 10 mg compx60,3.0,3.0,3,0.009771986970684038,1260.0,11.0,11.0,8.0,8.0,10.0,303,19066,3.0,23.0,0.0,180.0,7.0,32,11.0,19066,8.0,11,4.0,10.0,2,1.0,38132
5695392,ASPIRINA PREVENT comp.cub.ente,11.0,11.0,5,0.016025641025641024,2741.0,22.0,22.0,14.0,15.0,17.0,312,8932,11.0,50.0,0.0,26.0,14.0,23,7.0,8932,15.0,13,4.0,17.0,3,1.0,17864
2848361,ATLANSIL compx20,3.0,3.0,3,0.02142857142857143,121.0,4.0,4.0,2.0,3.0,3.0,86,15545,3.0,3.0,0.0,29.0,2.0,6,7.0,15545,3.0,1,1.0,4.0,0,0.0,15545
6211131,TANSILOPROST DUO 0.5/0.4 mg cß,6.0,6.0,1,0.0043859649122807015,331.0,4.0,4.0,3.0,3.0,4.0,203,79655,6.0,7.0,0.0,566.0,2.0,27,13.0,79655,3.0,9,4.0,4.0,0,0.0,79655
5143501,T475 75 mcg compx50,10.0,10.0,1,0.0035335689045936395,719.0,7.0,7.0,5.0,5.0,6.0,266,18714,10.0,14.0,0.0,606.0,4.0,32,12.0,18714,5.0,11,4.0,6.0,2,1.0,18714
5417684,AZECAR 4 mg compx30,1.0,1.0,5,0.05319148936170213,62.0,3.0,3.0,1.0,2.0,3.0,56,50925,1.0,1.0,0.0,34.0,1.0,5,9.0,50925,2.0,2,4.0,3.0,0,0.0,50925
3964673,LOSACOR 50 mg Cmp.recx30,3.0,3.0,1,0.0032679738562091504,1453.0,14.0,14.0,9.0,10.0,12.0,300,27547,3.0,27.0,0.0,180.0,9.0,19,6.0,27547,10.0,12,4.0,12.0,2,1.0,55094
4854761,DIUREX 25 mg compx30,5.0,5.0,0,0.0,355.0,7.0,7.0,3.0,4.0,6.0,195,20669,5.0,7.0,0.0,85.0,3.0,15,8.0,20669,4.0,8,4.0,6.0,1,1.0,41337
9961246,SERTAL CTO VL Cmp.recx10,0.0,0.0,0,0.0,493.0,7.0,7.0,4.0,4.0,6.0,224,7894,0.0,9.0,0.0,543.0,3.0,34,15.0,7894,4.0,10,4.0,6.0,1,0.0,15788
5972002,DBI AP 500 mg Cmp.rec.AP x60,6.0,6.0,0,0.0,445.0,6.0,6.0,3.0,4.0,4.0,234,24125,6.0,7.0,0.0,328.0,3.0,16,7.0,24125,4.0,3,1.0,5.0,1,0.0,24125
5467394,SALBUTRAL aerx250 dosis,5.0,5.0,2,0.008771929824561403,359.0,7.0,7.0,3.0,4.0,5.0,197,17420,5.0,7.0,0.0,175.0,3.0,20,10.0,17420,4.0,3,2.0,5.0,2,1.0,17420
6669681,PANTO IVESTRON 20 20mg Cmp.rec,1.0,1.0,5,0.053763440860215055,94.0,3.0,3.0,2.0,2.0,2.0,80,8719,1.0,1.0,15.0,66.0,1.0,13,16.0,8719,2.0,1,1.0,3.0,0,0.0,8719
3280982,LOTRIAL 2.5 mg compx30,3.0,3.0,2,0.010752688172043012,189.0,4.0,4.0,2.0,3.0,4.0,135,3430,3.0,4.0,0.0,180.0,2.0,8,6.0,3430,3.0,3,2.0,4.0,0,0.0,3430
5322973,TORIVAS 40 mg Cmp.recx30,3.0,3.0,0,0.0,161.0,5.0,5.0,2.0,2.0,4.0,127,69146,3.0,2.0,0.0,102.0,1.0,26,20.0,69146,2.0,6,5.0,4.0,1,1.0,138291
4739842,ASOTREX GL sobx30,1.0,1.0,3,0.06818181818181818,27.0,2.0,2.0,1.0,1.0,1.0,27,53959,1.0,1.0,0.0,30.0,0.0,27,100.0,53959,1.0,1,4.0,2.0,0,0.0,53959
4996752,TAFIROL 1 G X 50 CMPR.RAN.,6.0,6.0,3,0.009771986970684038,1186.0,11.0,11.0,7.0,7.0,9.0,302,14752,6.0,20.0,0.0,517.0,6.0,32,11.0,14752,7.0,16,5.0,9.0,4,1.0,29504
2070285,TRAPAX 2.5 mg compx60,3.0,3.0,4,0.02531645569620253,169.0,4.0,4.0,3.0,3.0,4.0,110,21378,3.0,3.0,0.0,187.0,2.0,15,14.0,21378,3.0,4,4.0,4.0,0,0.0,21378
6613713,GENIOL 1g Cmp. x50,3.0,3.0,0,0.0,329.0,6.0,6.0,3.0,3.0,5.0,194,11911,3.0,5.0,0.0,517.0,2.0,34,18.0,11911,3.0,8,4.0,5.0,1,1.0,23821
6333006,VI-BALIGLUC 50/850 mg compx60,3.0,3.0,2,0.05714285714285714,16.0,1.0,1.0,1.0,1.0,1.0,17,126314,3.0,1.0,0.0,328.0,0.0,17,100.0,126314,1.0,0,0.0,1.0,0,0.0,0
6440261,BISOPIL 2.5 mg Cmp.recx30,1.0,1.0,3,0.03125,75.0,3.0,3.0,2.0,2.0,2.0,65,9018,1.0,1.0,0.0,238.0,1.0,9,14.0,9018,2.0,1,2.0,3.0,0,0.0,9018
5308841,ATORVASTATIN CALCICO 20 mg Cmp,15.0,15.0,1,0.005917159763313609,253.0,5.0,5.0,3.0,3.0,4.0,154,45827,15.0,4.0,15.0,102.0,2.0,32,21.0,45827,3.0,8,5.0,4.0,2,1.0,45827
86181,PALATROBIL GOTAS solx120 ml,1.0,1.0,0,0.0,23.0,1.0,1.0,1.0,1.0,1.0,23,15410,1.0,1.0,0.0,561.0,0.0,23,100.0,15410,1.0,0,0.0,1.0,0,0.0,0
3214307,ALPLAX 0.50 mg compx60,4.0,4.0,0,0.0,259.0,3.0,3.0,2.0,3.0,3.0,178,14539,4.0,4.0,0.0,187.0,2.0,16,9.0,14539,3.0,0,0.0,3.0,0,0.0,0
8028766,-AGUA OXIGENADA 10 V   X100ML,26.0,26.0,0,0.0,211.0,4.0,4.0,2.0,3.0,3.0,148,0,26.0,5.0,3.0,,2.0,11,7.0,0,3.0,2,1.0,4.0,0,0.0,0
8019189,CUTEX QUITAESM HUMECTANTE ALM,6.0,6.0,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,12,0,6.0,1.0,9.0,,0.0,12,100.0,0,1.0,0,0.0,1.0,0,0.0,0
5343421,DIARIS capsx30,4.0,4.0,6,0.05128205128205128,86.0,3.0,3.0,2.0,2.0,2.0,75,31502,4.0,2.0,0.0,463.0,1.0,11,15.0,31502,2.0,1,1.0,3.0,0,0.0,31502
-800325,-ENVASE ESTERIL  CHICO,107.0,108.0,0,0.0,1949.0,19.0,19.0,11.0,13.0,17.0,305,0,108.0,38.0,3.0,,11.0,22,7.0,0,13.0,16,5.0,17.0,4,1.0,0
2844722,LOTRIAL 10 mg compx30,7.0,7.0,0,0.0,968.0,13.0,13.0,6.0,7.0,9.0,276,10147,7.0,17.0,0.0,180.0,6.0,26,9.0,10147,7.0,13,5.0,9.0,3,1.0,20294
5321712,ALPERTAN 160 mg Cmp.recx28,3.0,3.0,3,0.013824884792626729,332.0,7.0,7.0,4.0,4.0,6.0,168,39523,3.0,5.0,0.0,180.0,3.0,18,11.0,39523,4.0,6,4.0,6.0,1,1.0,79045
