codigo,descrip,abc_xyz,stock_fijado,stock_actual,dias_quiebre_1y,ratio_quiebre,ventas_totales,venta_max_diaria_total,venta_max_diaria_1y,p90_1y,p95_1y,p99_1y,dias_venta_pos,precio_venta,ROP_ajustado,dias_quiebre_ajustado,%_quiebre_ajustado,AhorroCapitalAjustado,ROP_intermedio,dias_quiebre_intermedio,%_quiebre_intermedio,ROP_holgado,dias_quiebre_holgado,%_quiebre_holgado,ExcesoCapitalHolgado
-800251,FARMACIA C X2,AY,27.0,28.0,0,0.0,379.0,9.0,9.0,5.0,5.0,7.0,169,0,4.0,20,12.0,0,5.0,7,4.0,7.0,2,1.0,0
-800250,FARMACIA M X2,AY,33.0,33.0,0,0.0,17.0,6.0,6.0,3.0,3.0,3.0,8,0,2.0,3,38.0,0,3.0,1,12.0,4.0,1,12.0,0
9963371,BEGAN 12 1 mg Cmp. x15,CX,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,11823,0.0,2,100.0,11823,1.0,0,0.0,1.0,0,0.0,0
9963372,BEGAN 12 1 mg Cmp. x30,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,20558,0.0,0,,0,0.0,0,,0.0,0,,0
9963373,BEGAN 12 1 mg Cmp. x60,CZ,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,34378,0.0,1,100.0,34378,1.0,0,0.0,1.0,0,0.0,0
2193461,ALCON MYDRIL 1% sol.oftx5 ml,CX,2.0,2.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,11806,0.0,0,,0,0.0,0,,0.0,0,,0
2029611,ANESTALCON fcox15 ml,CX,1.0,1.0,1,0.2,2.0,1.0,1.0,1.0,1.0,1.0,2,10988,0.0,2,100.0,10988,1.0,0,0.0,1.0,0,0.0,0
5910391,AZARGA fcox5 ml,BX,0.0,0.0,2,0.09523809523809523,9.0,1.0,1.0,1.0,1.0,1.0,9,24810,0.0,9,100.0,24810,1.0,0,0.0,1.0,0,0.0,0
4460481,AZOPT 1% susp.oftx5 ml,BX,2.0,2.0,7,0.12280701754385964,40.0,3.0,3.0,2.0,2.0,2.0,26,20172,1.0,13,50.0,20172,2.0,1,4.0,3.0,0,0.0,20172
5582421,DUOTRAV sol.oftx2.5 ml,BX,1.0,1.0,3,0.11538461538461539,15.0,2.0,2.0,1.0,1.0,1.0,14,26807,0.0,14,100.0,26807,1.0,1,7.0,2.0,0,0.0,26807
3429991,FLAREX susp.oftx5 ml,CX,0.0,0.0,3,0.16666666666666666,9.0,1.0,1.0,1.0,1.0,1.0,9,17027,0.0,9,100.0,17027,1.0,0,0.0,1.0,0,0.0,0
17851,ISOPTO ATROPINA 1% sol.oftx5 m,BX,0.0,0.0,4,0.25,8.0,2.0,2.0,1.0,1.0,1.0,7,11634,0.0,7,100.0,11634,1.0,1,14.0,2.0,0,0.0,11634
17771,ISOPTOMAX susp.oftx5 ml,CX,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,9082,0.0,0,,0,0.0,0,,0.0,0,,0
18182,ISOPTOMAX ung.oftx3.5 g,CX,1.0,1.0,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,10063,0.0,1,100.0,10063,1.0,0,0.0,1.0,0,0.0,0
2488081,MIRUS sol.oftx15 ml,CX,1.0,1.0,0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,6,12115,0.0,6,100.0,12115,1.0,0,0.0,1.0,0,0.0,0
5473421,NEVANAC 0.1% gotx5 ml,CX,-1.0,-1.0,5,0.45454545454545453,6.0,1.0,1.0,1.0,1.0,1.0,6,24436,0.0,6,100.0,24436,1.0,0,0.0,1.0,0,0.0,0
4338891,PATANOL 0.1% gotero x5 ml,CX,1.0,1.0,1,0.07142857142857142,9.0,1.0,1.0,1.0,1.0,1.0,9,21473,0.0,9,100.0,21473,1.0,0,0.0,1.0,0,0.0,0
4338892,PATANOL S 0.2% gotero x2.5 ml,CX,0.0,0.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,22709,0.0,2,100.0,22709,1.0,0,0.0,1.0,0,0.0,0
2856281,PLOSTIM 0.50% sol.oftx5 ml,BX,0.0,0.0,2,0.2,5.0,1.0,1.0,1.0,1.0,1.0,5,9826,0.0,5,100.0,9826,1.0,0,0.0,1.0,0,0.0,0
-899723,ST_PLOSTIM 0.50% sol.oftx5 ml,CZ,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8191,0.0,1,100.0,8191,1.0,0,0.0,1.0,0,0.0,0
6036971,SYSTANE BALANCE sol.oft.estÃÂ©ri,BX,1.0,1.0,1,0.06666666666666667,9.0,1.0,1.0,1.0,1.0,1.0,18,25339,0.0,18,100.0,25339,1.0,0,0.0,1.0,0,0.0,0
6556681,SYSTANE COMPLETE sol.oftx10 ml,CX,0.0,0.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,21165,0.0,3,100.0,21165,1.0,0,0.0,1.0,0,0.0,0
6556682,SYSTANE COMPLETE SP sol.oftx10,BX,2.0,2.0,5,0.0847457627118644,36.0,1.0,1.0,1.0,1.0,1.0,36,25760,0.0,36,100.0,25760,1.0,0,0.0,1.0,0,0.0,0
5286662,SYSTANE Drop Tainer fcox15 ml,AX,2.0,2.0,5,0.07936507936507936,45.0,2.0,2.0,1.0,2.0,2.0,41,24662,1.0,4,10.0,24662,2.0,0,0.0,2.0,0,0.0,0
6139841,SYSTANE GEL EN GOTAS gel oft.e,CX,1.0,1.0,1,0.08333333333333333,6.0,1.0,1.0,1.0,1.0,1.0,6,24229,0.0,6,100.0,24229,1.0,0,0.0,1.0,0,0.0,0
6732001,SYSTANE HIDRA SP sol.oft.estÃÂr,CX,2.0,2.0,4,0.08695652173913043,27.0,2.0,2.0,1.0,1.0,2.0,50,24820,0.0,50,100.0,24820,1.0,4,8.0,2.0,0,0.0,24820
5557712,SYSTANE ULTRA sol.oft.estÃÂ©ril,AX,3.0,3.0,0,0.0,153.0,4.0,4.0,2.0,2.0,3.0,222,23306,1.0,72,32.0,23306,2.0,10,5.0,3.0,2,1.0,23306
3169282,TOBRADEX ungx3.5 g,CX,0.0,0.0,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,11549,0.0,1,100.0,11549,1.0,0,0.0,1.0,0,0.0,0
2876161,TOBREX gts.oftx5 ml,CX,1.0,1.0,0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,5,10819,0.0,5,100.0,10819,1.0,0,0.0,1.0,0,0.0,0
4908551,TRAVATAN sol.oftx2.5 ml,AX,0.0,1.0,7,0.04666666666666667,143.0,4.0,4.0,2.0,2.0,3.0,108,19583,1.0,29,27.0,19583,2.0,4,4.0,3.0,2,2.0,19583
