codigo,descrip,unidades,fecha_desde,fecha_hasta
9955564,TREG 20 mg cÃpsx15,266.0,2026-02-08,2026-03-09
5695392,ASPIRINA PREVENT comp.cub.ente,203.0,2026-02-08,2026-03-09
9953986,ACCU-CHEK GUIDE tiras Reac x50,139.0,2026-02-08,2026-03-09
6034710,DOVE JAB X 90 ORIGINAL,131.0,2026-02-08,2026-03-09
3367601,T4 MONTPELLIER 100 100 mcg com,110.0,2026-02-08,2026-03-09
3964673,LOSACOR 50 mg Cmp.recx30,109.0,2026-02-08,2026-03-09
4676306,CORBIS 5 mg Cmp.recx30,106.0,2026-02-08,2026-03-09
4996752,TAFIROL 1 G X 50 CMPR.RAN.,100.0,2026-02-08,2026-03-09
2844724,LOTRIAL 10 mg compx60,98.0,2026-02-08,2026-03-09
4508832,INSU INSULATARD FLEXPEN HM 100,87.0,2026-02-08,2026-03-09
3964674,LOSACOR 50 mg Cmp.recx60,86.0,2026-02-08,2026-03-09
5512551,IBU 600 RAPIDA ACCION 600 mg c,82.0,2026-02-08,2026-03-09
9963882,TAFIROL 1 G blÃ­ster Cmp. x8,82.0,2026-02-08,2026-03-09
5435552,SARVAL 160 mg Cmp.recx30,78.0,2026-02-08,2026-03-09
2844722,LOTRIAL 10 mg compx30,73.0,2026-02-08,2026-03-09
9903491,ALIKAL  ORIGINAL X 1,69.0,2026-02-08,2026-03-09
3675092,DBI AP METFORMINA 850 mg Cmp.r,65.0,2026-02-08,2026-03-09
4423272,CLONAGIN 2 2 mg compx60,64.0,2026-02-08,2026-03-09
3994111,T450 50 mcg compx50,64.0,2026-02-08,2026-03-09
5435422,SARVAL 80 mg Cmp.recx30,55.0,2026-02-08,2026-03-09
